CVE,Date,CWE,Severity
CVE-2025-11823,2025-10-25T05:15:36.817,CWE-80,5.4
CVE-2025-12333,2025-10-27T23:15:37.360,CWE-79;CWE-94,6.1
CVE-2025-53883,2025-10-30T11:15:33.280,CWE-80,9.3
CVE-2025-43438,2025-11-04T02:15:49.563,CWE-416,4.3
CVE-2025-49900,2025-11-06T16:15:54.070,CWE-266,8.8
CVE-2025-12917,2025-11-09T08:15:35.557,CWE-404,4.3
CVE-2025-59499,2025-11-11T18:15:35.733,CWE-89,8.8
CVE-2025-41069,2025-11-13T14:15:48.747,CWE-639,5.3
CVE-2025-11620,2025-11-18T09:15:47.123,CWE-862,7.2
CVE-2025-12121,2025-11-20T17:15:48.787,N/A,7.3
CVE-2025-64761,2025-11-25T01:15:46.460,CWE-266,7.2
CVE-2025-66289,2025-11-29T04:15:57.893,CWE-613,8.8
