CVE,Date,CWE,Severity
CVE-2025-22939,2025-03-31T15:15:43.650,CWE-77,9.8
CVE-2025-3001,2025-03-31T16:15:27.277,CWE-119,5.3
CVE-2025-3004,2025-03-31T17:15:43.757,CWE-79;CWE-94,5.4
CVE-2025-31674,2025-03-31T22:15:19.893,CWE-915;CWE-913,7.5
CVE-2025-31691,2025-03-31T22:15:21.737,CWE-862,9.8
CVE-2025-24170,2025-03-31T23:15:16.677,CWE-276,7.8
CVE-2025-24203,2025-03-31T23:15:18.383,NVD-CWE-noinfo,5.0
CVE-2025-24228,2025-03-31T23:15:20.080,CWE-125,7.8
CVE-2025-24245,2025-03-31T23:15:21.720,CWE-862,9.8
CVE-2025-24265,2025-03-31T23:15:23.437,CWE-125,9.8
CVE-2025-30427,2025-03-31T23:15:25.037,CWE-416,4.3
CVE-2025-30450,2025-03-31T23:15:26.643,CWE-284,5.5
CVE-2025-30471,2025-03-31T23:15:28.347,CWE-20,7.5
CVE-2025-3041,2025-04-01T00:15:15.200,CWE-284;CWE-434,9.8
CVE-2025-0416,2025-04-01T04:15:37.727,CWE-269,8.9
CVE-2025-30589,2025-04-01T06:15:49.607,CWE-89,8.5
CVE-2025-30837,2025-04-01T06:15:52.563,CWE-79,7.1
CVE-2025-30926,2025-04-01T06:15:55.367,CWE-862,4.3
CVE-2025-3082,2025-04-01T11:15:39.517,CWE-284;NVD-CWE-noinfo,5.4
CVE-2025-3033,2025-04-01T13:15:41.697,CWE-73,7.7
CVE-2025-31735,2025-04-01T15:16:09.620,CWE-79,6.5
CVE-2025-31756,2025-04-01T15:16:12.187,CWE-352,4.3
CVE-2025-31775,2025-04-01T15:16:14.897,CWE-352,4.3
CVE-2025-31793,2025-04-01T15:16:17.440,CWE-79,5.9
CVE-2025-31813,2025-04-01T15:16:21.047,CWE-79,6.5
CVE-2025-31833,2025-04-01T15:16:23.643,CWE-639,4.9
CVE-2025-31851,2025-04-01T15:16:26.307,CWE-79,6.5
CVE-2025-31869,2025-04-01T15:16:29.130,CWE-79,6.5
CVE-2025-31887,2025-04-01T15:16:31.823,CWE-862,4.3
CVE-2025-21899,2025-04-01T16:15:20.327,CWE-476,5.5
CVE-2025-21916,2025-04-01T16:15:22.223,NVD-CWE-noinfo,5.5
CVE-2025-21933,2025-04-01T16:15:24.143,CWE-476,5.5
CVE-2025-21950,2025-04-01T16:15:26.180,N/A,N/A
CVE-2025-21967,2025-04-01T16:15:27.983,CWE-416,7.8
CVE-2025-21984,2025-04-01T16:15:29.810,CWE-362,4.7
CVE-2025-29070,2025-04-01T21:15:44.023,CWE-122,7.5
CVE-2025-31082,2025-04-01T21:15:46.720,CWE-98,8.1
CVE-2025-31548,2025-04-01T21:15:49.313,CWE-79,7.1
CVE-2025-31628,2025-04-01T21:15:51.833,CWE-862,5.3
CVE-2025-3072,2025-04-02T01:15:38.503,CWE-451,5.4
CVE-2025-1805,2025-04-02T13:15:40.927,CWE-338,5.3
CVE-2025-31726,2025-04-02T15:16:00.150,CWE-284,5.5
CVE-2025-29062,2025-04-02T21:15:32.463,CWE-77,9.8
CVE-2025-3129,2025-04-02T22:15:21.593,CWE-307,4.8
CVE-2025-3142,2025-04-03T06:15:43.200,CWE-74;CWE-89,8.8
CVE-2025-22003,2025-04-03T08:15:15.840,CWE-125,5.5
CVE-2025-22930,2025-04-03T14:15:29.650,CWE-89,9.8
CVE-2025-31536,2025-04-03T14:15:36.417,CWE-79,7.1
CVE-2025-31795,2025-04-03T14:15:39.803,CWE-862,6.5
CVE-2025-31909,2025-04-03T14:15:43.107,CWE-862,7.5
CVE-2025-29987,2025-04-03T16:15:36.420,CWE-1220,8.8
CVE-2025-31486,2025-04-03T19:15:39.890,CWE-200;CWE-284,5.3
CVE-2025-3176,2025-04-03T20:15:27.317,CWE-74;CWE-89,9.8
CVE-2025-29815,2025-04-04T01:15:39.487,CWE-416,7.6
CVE-2025-2075,2025-04-04T05:15:45.400,CWE-862,8.8
CVE-2025-2797,2025-04-04T07:15:42.380,CWE-352,5.4
CVE-2025-3236,2025-04-04T10:15:17.177,CWE-266;CWE-284;NVD-CWE-Other,5.3
CVE-2025-2798,2025-04-04T14:15:22.293,CWE-269,9.8
CVE-2025-32112,2025-04-04T16:15:19.123,CWE-352,7.1
CVE-2025-32136,2025-04-04T16:15:21.723,CWE-79,5.9
CVE-2025-32159,2025-04-04T16:15:24.457,CWE-98,7.5
CVE-2025-32178,2025-04-04T16:15:27.173,CWE-862,5.4
CVE-2025-32196,2025-04-04T16:15:29.790,CWE-79,6.5
CVE-2025-32233,2025-04-04T16:15:32.617,CWE-862,4.3
CVE-2025-32256,2025-04-04T16:15:35.190,CWE-862,5.3
CVE-2025-32276,2025-04-04T16:15:39.007,CWE-352,4.3
CVE-2025-3268,2025-04-04T21:15:51.557,CWE-287;NVD-CWE-noinfo,9.8
CVE-2025-32358,2025-04-05T21:15:40.487,CWE-918,4.1
CVE-2025-3311,2025-04-06T07:15:41.690,CWE-74;CWE-89,9.8
CVE-2025-3326,2025-04-07T00:15:14.603,CWE-79;CWE-94,3.5
CVE-2025-20656,2025-04-07T04:15:19.447,CWE-787,6.8
CVE-2025-3336,2025-04-07T05:15:29.767,CWE-74;CWE-89,7.3
CVE-2025-21429,2025-04-07T11:15:51.047,CWE-126,7.5
CVE-2025-0050,2025-04-07T12:15:15.360,CWE-119,5.9
CVE-2025-3248,2025-04-07T15:15:44.897,CWE-306;CWE-94,9.8
CVE-2025-3374,2025-04-07T16:15:27.530,CWE-119;CWE-120,9.8
CVE-2025-29769,2025-04-07T20:15:21.090,CWE-122,5.5
CVE-2025-3388,2025-04-07T23:15:44.033,CWE-79;CWE-94,6.1
CVE-2025-32414,2025-04-08T03:15:15.940,CWE-393;CWE-252,7.5
CVE-2025-20943,2025-04-08T05:15:38.787,N/A,6.4
CVE-2025-3429,2025-04-08T07:15:43.120,CWE-89,4.9
CVE-2025-31331,2025-04-08T08:15:17.977,CWE-863,4.3
CVE-2025-3064,2025-04-08T09:15:28.140,CWE-352,8.8
CVE-2025-31498,2025-04-08T14:15:35.293,CWE-416,8.3
CVE-2025-2829,2025-04-08T16:15:27.133,CWE-787,7.8
CVE-2025-27085,2025-04-08T17:15:36.887,CWE-22,4.9
CVE-2025-21222,2025-04-08T18:15:45.850,CWE-122,8.8
CVE-2025-26649,2025-04-08T18:15:48.843,CWE-362;CWE-416,7.0
CVE-2025-26678,2025-04-08T18:15:52.303,CWE-284,8.4
CVE-2025-27196,2025-04-08T18:15:55.170,CWE-122;CWE-787,7.8
CVE-2025-27477,2025-04-08T18:15:57.947,CWE-122;CWE-787,8.8
CVE-2025-27729,2025-04-08T18:16:00.813,CWE-416,7.8
CVE-2025-27747,2025-04-08T18:16:04.047,CWE-822,7.8
CVE-2025-29810,2025-04-08T18:16:06.797,CWE-284,7.5
CVE-2025-30300,2025-04-08T19:15:50.240,CWE-476,5.5
CVE-2025-30285,2025-04-08T20:15:26.127,CWE-502,8.4
CVE-2025-32461,2025-04-09T02:15:16.253,CWE-1336,9.9
CVE-2025-2441,2025-04-09T11:15:42.730,CWE-1188,4.6
CVE-2025-32375,2025-04-09T16:15:25.580,CWE-502,9.8
CVE-2025-31033,2025-04-09T17:15:35.083,CWE-352,9.8
CVE-2025-31395,2025-04-09T17:15:38.500,CWE-352,7.1
CVE-2025-32488,2025-04-09T17:15:41.737,CWE-79,5.9
CVE-2025-32547,2025-04-09T17:15:44.930,CWE-352,8.2
CVE-2025-32617,2025-04-09T17:15:48.447,CWE-352,7.1
CVE-2025-32676,2025-04-09T17:15:51.560,CWE-89,7.6
CVE-2025-3474,2025-04-09T18:15:51.060,CWE-306,6.5
CVE-2025-30647,2025-04-09T20:15:28.103,CWE-401,6.5
CVE-2025-32387,2025-04-09T23:15:37.903,CWE-121;CWE-674,6.5
CVE-2025-2873,2025-04-10T08:15:14.857,N/A,N/A
CVE-2025-32206,2025-04-10T08:15:17.660,CWE-434,9.1
CVE-2025-32244,2025-04-10T08:15:20.387,CWE-862,6.5
CVE-2025-1677,2025-04-10T13:15:46.473,CWE-770,7.5
CVE-2025-24866,2025-04-10T16:15:27.990,CWE-863,2.7
CVE-2025-32809,2025-04-11T01:15:55.453,CWE-79,5.4
CVE-2025-32764,2025-04-11T03:15:14.747,N/A,N/A
CVE-2025-31021,2025-04-11T09:15:19.820,CWE-79,7.1
CVE-2025-32525,2025-04-11T09:15:24.880,CWE-79,7.1
CVE-2025-32585,2025-04-11T09:15:29.607,CWE-35,7.5
CVE-2025-32650,2025-04-11T09:15:34.340,CWE-89,8.5
CVE-2025-3421,2025-04-11T13:15:40.800,CWE-79,6.1
CVE-2025-32077,2025-04-11T17:15:44.513,CWE-20,6.9
CVE-2025-3292,2025-04-12T07:15:27.143,CWE-639,4.3
CVE-2025-3541,2025-04-13T23:15:13.960,CWE-74;CWE-77,8.0
CVE-2025-3554,2025-04-14T07:15:14.860,CWE-79;CWE-94,6.1
CVE-2025-32906,2025-04-14T14:15:24.433,CWE-125,7.5
CVE-2025-22371,2025-04-14T16:15:21.450,CWE-89,9.3
CVE-2025-24797,2025-04-15T00:15:14.353,CWE-119;CWE-122,9.8
CVE-2025-3612,2025-04-15T03:15:18.850,CWE-79;CWE-94,4.3
CVE-2025-26743,2025-04-15T12:15:19.407,CWE-79,7.1
CVE-2025-30985,2025-04-15T12:15:22.463,CWE-502,9.8
CVE-2025-29281,2025-04-15T15:16:08.807,CWE-94,8.8
CVE-2025-33026,2025-04-15T18:15:53.030,CWE-830;CWE-829,7.8
CVE-2025-32012,2025-04-15T20:15:39.400,CWE-290,7.5
CVE-2025-21580,2025-04-15T21:15:53.393,CWE-732,4.9
CVE-2025-30681,2025-04-15T21:15:57.233,CWE-400,2.7
CVE-2025-30698,2025-04-15T21:15:59.137,CWE-284,5.6
CVE-2025-30715,2025-04-15T21:16:01.080,CWE-400,4.9
CVE-2025-30732,2025-04-15T21:16:03.013,CWE-284,6.1
CVE-2025-24315,2025-04-15T22:15:16.143,CWE-639,5.3
CVE-2025-26934,2025-04-15T22:15:18.607,CWE-79,6.5
CVE-2025-30510,2025-04-15T22:15:26.260,CWE-351,9.8
CVE-2025-25458,2025-04-15T23:15:42.747,CWE-120,4.6
CVE-2025-3674,2025-04-16T07:15:42.300,CWE-266;CWE-284;NVD-CWE-Other,5.3
CVE-2025-22020,2025-04-16T11:15:42.640,CWE-416,7.8
CVE-2025-39513,2025-04-16T13:15:44.737,CWE-862,5.3
CVE-2025-39544,2025-04-16T13:15:47.197,CWE-352,7.4
CVE-2025-39572,2025-04-16T13:15:49.793,CWE-79,6.5
CVE-2025-39597,2025-04-16T13:15:52.217,CWE-601,4.7
CVE-2025-22030,2025-04-16T15:15:55.607,CWE-667,5.5
CVE-2025-22047,2025-04-16T15:15:58.123,NVD-CWE-noinfo,5.5
CVE-2025-22064,2025-04-16T15:16:00.620,NVD-CWE-noinfo,5.5
CVE-2025-22081,2025-04-16T15:16:02.310,CWE-190,5.5
CVE-2025-22098,2025-04-16T15:16:04.183,CWE-667,5.5
CVE-2025-22115,2025-04-16T15:16:05.710,CWE-362,4.7
CVE-2025-23132,2025-04-16T15:16:07.630,NVD-CWE-noinfo,5.5
CVE-2025-3736,2025-04-16T17:15:50.113,NVD-CWE-noinfo,5.9
CVE-2025-31350,2025-04-16T18:16:06.323,CWE-89,8.8
CVE-2025-32834,2025-04-16T18:16:10.260,CWE-89,8.8
CVE-2025-32851,2025-04-16T18:16:15.143,CWE-89,8.8
CVE-2025-32868,2025-04-16T18:16:18.390,CWE-89,8.8
CVE-2025-3725,2025-04-16T20:15:20.123,CWE-119;CWE-120,9.8
CVE-2025-32787,2025-04-16T22:15:14.667,CWE-476,3.1
CVE-2025-43704,2025-04-16T23:15:45.770,CWE-319,4.7
CVE-2025-2188,2025-04-17T10:15:15.693,CWE-290,9.1
CVE-2025-3651,2025-04-17T15:15:58.620,CWE-346;CWE-668,9.3
CVE-2025-23958,2025-04-17T16:15:31.170,CWE-862,6.5
CVE-2025-24670,2025-04-17T16:15:33.867,CWE-79,7.1
CVE-2025-27295,2025-04-17T16:15:36.193,CWE-79,7.1
CVE-2025-27354,2025-04-17T16:15:38.430,CWE-79,7.1
CVE-2025-32516,2025-04-17T16:15:40.827,CWE-79,7.1
CVE-2025-32548,2025-04-17T16:15:43.117,CWE-79,7.1
CVE-2025-32592,2025-04-17T16:15:45.360,CWE-79,7.1
CVE-2025-32628,2025-04-17T16:15:47.577,CWE-79,7.1
CVE-2025-32660,2025-04-17T16:15:49.817,CWE-434,10.0
CVE-2025-39423,2025-04-17T16:15:52.203,CWE-352,7.1
CVE-2025-39440,2025-04-17T16:15:54.497,CWE-352,7.1
CVE-2025-39532,2025-04-17T16:15:56.763,CWE-862,7.5
CVE-2025-39588,2025-04-17T16:15:58.953,CWE-502,9.8
CVE-2025-25455,2025-04-17T18:15:48.603,CWE-121,7.5
CVE-2025-29453,2025-04-17T22:15:14.960,CWE-918,6.5
CVE-2025-39471,2025-04-18T05:15:33.987,CWE-89,9.3
CVE-2025-39728,2025-04-18T07:15:44.040,CWE-129,5.5
CVE-2025-3789,2025-04-18T13:15:58.330,CWE-79;CWE-94,5.4
CVE-2025-30357,2025-04-18T16:15:22.593,CWE-706,6.8
CVE-2025-28242,2025-04-18T18:15:47.327,CWE-384,9.8
CVE-2025-3278,2025-04-19T03:15:13.730,CWE-269,9.8
CVE-2025-3797,2025-04-19T07:15:13.250,CWE-74;CWE-89,7.2
CVE-2025-3818,2025-04-19T20:15:15.037,CWE-74;CWE-89,6.3
CVE-2025-3829,2025-04-20T16:15:14.230,CWE-74;CWE-89,9.8
CVE-2025-3838,2025-04-21T10:15:15.493,CWE-327;CWE-863,6.1
CVE-2025-28102,2025-04-21T17:15:23.710,CWE-79,6.1
CVE-2025-3854,2025-04-22T01:15:18.397,CWE-119;CWE-120,8.0
CVE-2025-46228,2025-04-22T10:15:15.800,CWE-79,5.4
CVE-2025-46247,2025-04-22T10:15:19.137,CWE-862,9.8
CVE-2025-23176,2025-04-22T15:16:10.480,CWE-89,8.8
CVE-2025-28036,2025-04-22T18:15:59.260,CWE-78,9.8
CVE-2025-43951,2025-04-22T18:16:01.650,CWE-73,9.8
CVE-2025-46219,2025-04-23T03:15:22.520,N/A,N/A
CVE-2025-42604,2025-04-23T11:15:47.190,CWE-1295,6.9
CVE-2025-1048,2025-04-23T17:16:51.843,CWE-416,N/A
CVE-2025-2762,2025-04-23T17:16:54.160,CWE-1326,N/A
CVE-2025-3673,2025-04-23T19:16:25.350,N/A,N/A
CVE-2025-46377,2025-04-24T03:15:15.973,N/A,N/A
CVE-2025-2579,2025-04-24T09:15:30.317,CWE-79,6.4
CVE-2025-30409,2025-04-24T14:15:58.703,CWE-770,N/A
CVE-2025-39390,2025-04-24T16:15:32.330,CWE-862,5.3
CVE-2025-46442,2025-04-24T16:15:35.223,CWE-352,7.1
CVE-2025-46470,2025-04-24T16:15:37.720,CWE-862,4.3
CVE-2025-46495,2025-04-24T16:15:40.140,CWE-352,6.5
CVE-2025-46513,2025-04-24T16:15:42.543,CWE-352,4.3
CVE-2025-46534,2025-04-24T16:15:44.820,CWE-79,6.5
CVE-2025-46273,2025-04-24T23:15:15.673,CWE-798,9.8
CVE-2025-3511,2025-04-25T06:15:45.753,CWE-1284,7.5
CVE-2025-2986,2025-04-25T12:15:17.083,CWE-79,5.4
CVE-2025-3642,2025-04-25T15:15:38.013,CWE-94,8.8
CVE-2025-32979,2025-04-25T21:15:38.883,CWE-378,6.5
CVE-2025-2811,2025-04-26T07:15:15.380,CWE-400;CWE-1333,5.7
CVE-2025-46575,2025-04-27T02:15:15.690,CWE-209,7.5
CVE-2025-3886,2025-04-27T11:15:15.940,CWE-362,8.1
CVE-2025-3981,2025-04-27T19:15:15.750,CWE-266;CWE-285;CWE-862,5.3
CVE-2025-3991,2025-04-28T00:15:15.877,CWE-119;CWE-120,8.8
CVE-2025-4006,2025-04-28T07:15:14.197,CWE-284;CWE-434,4.7
CVE-2025-32472,2025-04-28T13:15:23.053,CWE-400,5.3
CVE-2025-4028,2025-04-28T17:15:50.833,CWE-74;CWE-89,9.8
CVE-2025-0049,2025-04-28T21:15:56.703,CWE-209,4.3
CVE-2025-46753,2025-04-29T03:15:35.230,N/A,N/A
CVE-2025-3891,2025-04-29T12:15:32.137,CWE-248;NVD-CWE-noinfo,7.5
CVE-2025-4087,2025-04-29T14:15:35.357,CWE-125,4.8
CVE-2025-40615,2025-04-29T16:15:36.160,CWE-79,6.1
CVE-2025-46347,2025-04-29T18:15:44.670,CWE-116,9.8
CVE-2025-46550,2025-04-29T21:15:52.467,CWE-79,6.1
CVE-2025-2890,2025-04-30T09:15:14.503,CWE-89,6.5
CVE-2025-24346,2025-04-30T12:15:18.503,CWE-1286,7.5
CVE-2025-45011,2025-04-30T14:15:29.193,CWE-77,5.3
CVE-2025-32974,2025-04-30T15:16:01.973,CWE-116;CWE-269,9.0
CVE-2025-44194,2025-04-30T18:15:47.823,CWE-89,7.3
CVE-2025-4141,2025-04-30T22:15:17.287,CWE-119;CWE-120,9.8
CVE-2025-3503,2025-05-01T06:15:34.910,CWE-79,4.8
CVE-2025-4161,2025-05-01T11:15:54.740,CWE-119;CWE-120,9.8
CVE-2025-23148,2025-05-01T13:15:50.670,CWE-476,5.5
CVE-2025-37739,2025-05-01T13:15:52.500,CWE-125,7.1
CVE-2025-37756,2025-05-01T13:15:54.370,NVD-CWE-noinfo,5.5
CVE-2025-37769,2025-05-01T14:15:40.190,CWE-369,5.5
CVE-2025-37787,2025-05-01T14:15:43.040,CWE-476,5.5
CVE-2025-44840,2025-05-01T17:15:50.253,CWE-77,6.5
CVE-2025-32888,2025-05-01T18:15:56.107,CWE-798,8.8
CVE-2025-24522,2025-05-01T19:15:57.097,CWE-305,10.0
CVE-2025-46632,2025-05-01T20:15:39.167,CWE-323,6.5
CVE-2025-4191,2025-05-02T00:15:19.440,CWE-74;CWE-89,9.8
CVE-2025-3708,2025-05-02T04:15:55.507,CWE-89,9.8
CVE-2025-1883,2025-05-02T15:15:48.317,CWE-787,7.8
CVE-2025-4215,2025-05-02T21:15:23.893,CWE-400;CWE-1333,3.7
CVE-2025-4236,2025-05-03T14:15:16.360,CWE-119;CWE-120,9.8
CVE-2025-4250,2025-05-04T09:17:08.230,CWE-74;CWE-89,9.8
CVE-2025-4260,2025-05-05T03:15:23.660,CWE-20;CWE-502,8.3
CVE-2025-28168,2025-05-05T14:15:28.500,CWE-602;CWE-434,9.8
CVE-2025-24977,2025-05-05T17:18:47.397,CWE-94,9.1
CVE-2025-4052,2025-05-05T18:15:44.153,CWE-838,9.8
CVE-2025-4318,2025-05-05T19:15:57.847,CWE-95,9.5
CVE-2025-46734,2025-05-05T20:15:21.613,CWE-79,6.4
CVE-2025-4298,2025-05-06T00:15:15.620,CWE-119;CWE-120,9.8
CVE-2025-47299,2025-05-06T04:16:23.523,N/A,N/A
CVE-2025-46584,2025-05-06T07:15:48.117,CWE-280;CWE-755,5.5
CVE-2025-4333,2025-05-06T08:15:18.160,CWE-284;CWE-434,6.3
CVE-2025-4341,2025-05-06T09:15:25.837,CWE-74;CWE-77,9.8
CVE-2025-0984,2025-05-06T12:15:29.450,CWE-79;CWE-434,8.2
CVE-2025-4374,2025-05-06T15:16:05.463,CWE-266,6.5
CVE-2025-32022,2025-05-06T17:16:12.097,CWE-787,4.6
CVE-2025-46572,2025-05-06T21:16:20.400,CWE-287,9.3
CVE-2025-3924,2025-05-07T03:15:18.733,CWE-285,5.3
CVE-2025-32405,2025-05-07T07:15:51.637,CWE-787,7.5
CVE-2025-20962,2025-05-07T09:15:16.370,NVD-CWE-noinfo,4.0
CVE-2025-20979,2025-05-07T09:15:18.560,CWE-787,7.8
CVE-2025-47441,2025-05-07T15:15:58.197,CWE-79,6.5
CVE-2025-47465,2025-05-07T15:16:00.580,CWE-862,4.9
CVE-2025-47486,2025-05-07T15:16:02.910,CWE-862,5.3
CVE-2025-47506,2025-05-07T15:16:05.430,CWE-79,6.5
CVE-2025-47526,2025-05-07T15:16:09.940,CWE-862,5.4
CVE-2025-47587,2025-05-07T15:16:12.187,CWE-89,7.6
CVE-2025-47614,2025-05-07T15:16:14.513,CWE-352,4.3
CVE-2025-47636,2025-05-07T15:16:16.793,CWE-35,7.5
CVE-2025-47667,2025-05-07T15:16:19.040,CWE-352,5.4
CVE-2025-46551,2025-05-07T17:15:58.153,CWE-295,3.7
CVE-2025-20190,2025-05-07T18:15:38.963,CWE-284,6.5
CVE-2025-20221,2025-05-07T18:15:41.917,CWE-200,9.1
CVE-2025-31177,2025-05-07T21:16:03.683,CWE-122,5.5
CVE-2025-0936,2025-05-07T23:15:53.010,CWE-256,6.5
CVE-2025-37811,2025-05-08T07:15:52.310,CWE-476,5.5
CVE-2025-37828,2025-05-08T07:15:54.033,CWE-476,5.5
CVE-2025-3506,2025-05-08T12:15:17.833,CWE-497,5.3
CVE-2025-45846,2025-05-08T16:15:26.993,CWE-121,8.8
CVE-2025-45790,2025-05-08T20:15:30.327,CWE-787;CWE-121,9.8
CVE-2025-31946,2025-05-08T23:15:52.643,CWE-416,6.2
CVE-2025-3811,2025-05-09T03:15:24.307,CWE-639,9.8
CVE-2025-47737,2025-05-09T05:15:51.877,CWE-762,2.9
CVE-2025-37840,2025-05-09T07:16:04.710,NVD-CWE-noinfo,7.8
CVE-2025-37857,2025-05-09T07:16:06.707,CWE-190,5.5
CVE-2025-37875,2025-05-09T07:16:08.670,NVD-CWE-noinfo,5.5
CVE-2025-4467,2025-05-09T07:16:10.917,CWE-74;CWE-89,9.8
CVE-2025-28201,2025-05-09T16:15:24.117,CWE-284,6.8
CVE-2025-4482,2025-05-09T18:16:04.363,CWE-74;CWE-89,9.8
CVE-2025-1137,2025-05-10T03:15:22.720,CWE-250,8.8
CVE-2025-4499,2025-05-10T12:15:36.463,CWE-119;CWE-121;CWE-787,7.8
CVE-2025-4515,2025-05-10T21:15:52.010,CWE-346;CWE-942;CWE-697,6.5
CVE-2025-4536,2025-05-11T09:15:17.287,CWE-200;CWE-284,5.3
CVE-2025-4553,2025-05-12T01:15:54.137,CWE-74;CWE-89,9.8
CVE-2025-47270,2025-05-12T11:15:51.050,CWE-400,7.5
CVE-2025-3632,2025-05-12T17:15:46.487,CWE-789;CWE-770,7.5
CVE-2025-1079,2025-05-12T20:15:21.173,CWE-61;CWE-59,7.8
CVE-2025-31195,2025-05-12T22:15:21.363,CWE-284,6.3
CVE-2025-31221,2025-05-12T22:15:22.873,CWE-190,7.5
CVE-2025-31241,2025-05-12T22:15:24.460,CWE-415,5.3
CVE-2025-30009,2025-05-13T01:15:47.407,CWE-79,6.1
CVE-2025-43010,2025-05-13T01:15:49.890,CWE-94,8.3
CVE-2025-4473,2025-05-13T07:15:52.637,CWE-285,8.8
CVE-2025-32454,2025-05-13T10:15:24.953,CWE-125,7.8
CVE-2025-40581,2025-05-13T10:15:28.333,CWE-288;NVD-CWE-noinfo,7.1
CVE-2025-45864,2025-05-13T15:15:58.733,CWE-120,5.4
CVE-2025-21264,2025-05-13T17:15:51.170,CWE-552,7.1
CVE-2025-29839,2025-05-13T17:15:54.563,CWE-125,4.0
CVE-2025-29968,2025-05-13T17:15:57.493,CWE-20;NVD-CWE-noinfo,6.5
CVE-2025-30377,2025-05-13T17:16:00.167,CWE-416,7.8
CVE-2025-32703,2025-05-13T17:16:03.080,CWE-200;CWE-1220;NVD-CWE-noinfo,5.5
CVE-2025-43545,2025-05-13T18:15:40.093,CWE-824,7.8
CVE-2025-20012,2025-05-13T21:16:03.117,CWE-696,4.9
CVE-2025-20057,2025-05-13T21:16:05.653,CWE-400,3.5
CVE-2025-20618,2025-05-13T21:16:08.097,CWE-121,7.9
CVE-2025-24495,2025-05-13T21:16:11.237,N/A,5.6
CVE-2025-43567,2025-05-13T21:16:16.530,CWE-79,9.3
CVE-2025-47896,2025-05-14T04:16:22.957,N/A,N/A
CVE-2025-47436,2025-05-14T14:15:30.703,CWE-122,9.8
CVE-2025-40595,2025-05-14T17:15:48.877,CWE-918,7.2
CVE-2025-30666,2025-05-14T18:15:30.447,CWE-476,6.5
CVE-2025-2900,2025-05-14T19:15:52.690,CWE-122;CWE-787,7.5
CVE-2025-29688,2025-05-14T22:15:17.520,CWE-79,6.1
CVE-2025-27524,2025-05-15T07:15:50.660,CWE-326,5.3
CVE-2025-4516,2025-05-15T14:15:31.753,CWE-416,5.9
CVE-2025-30418,2025-05-15T17:15:53.690,CWE-787,7.8
CVE-2025-30475,2025-05-15T19:15:56.697,CWE-269;NVD-CWE-noinfo,9.8
CVE-2025-2248,2025-05-15T20:16:06.067,CWE-89,5.4
CVE-2025-4720,2025-05-15T21:15:50.447,CWE-22,5.4
CVE-2025-47809,2025-05-16T01:15:51.827,CWE-272,8.2
CVE-2025-4747,2025-05-16T05:15:37.893,CWE-74;CWE-77,6.3
CVE-2025-1975,2025-05-16T09:15:17.980,CWE-129,N/A
CVE-2025-40907,2025-05-16T13:15:52.683,CWE-122;CWE-190,5.3
CVE-2025-4785,2025-05-16T15:15:49.363,CWE-74;CWE-89,9.8
CVE-2025-31928,2025-05-16T16:15:38.473,CWE-89,8.5
CVE-2025-39493,2025-05-16T16:15:40.793,CWE-862,8.8
CVE-2025-48080,2025-05-16T16:15:43.207,CWE-79,6.5
CVE-2025-48137,2025-05-16T16:15:45.653,CWE-89,6.5
CVE-2025-4802,2025-05-16T20:15:22.280,CWE-426,7.8
CVE-2025-4816,2025-05-17T04:16:20.577,CWE-74;CWE-89,9.8
CVE-2025-4101,2025-05-17T13:15:47.910,CWE-863,4.3
CVE-2025-4839,2025-05-17T22:15:19.390,CWE-346;CWE-942,8.1
CVE-2025-4858,2025-05-18T04:15:34.883,CWE-79;CWE-94,4.8
CVE-2025-4874,2025-05-18T12:15:17.933,CWE-74;CWE-89,9.8
CVE-2025-4894,2025-05-18T20:15:18.803,CWE-310;CWE-326,5.9
CVE-2025-4905,2025-05-19T02:15:17.697,CWE-20;CWE-502,9.8
CVE-2025-4914,2025-05-19T06:15:20.243,CWE-74;CWE-89,9.8
CVE-2025-4917,2025-05-19T08:15:23.783,CWE-74;CWE-89,9.8
CVE-2025-28371,2025-05-19T14:15:23.547,CWE-284,6.5
CVE-2025-48243,2025-05-19T15:15:26.890,CWE-352,4.3
CVE-2025-48262,2025-05-19T15:15:29.680,CWE-862,4.3
CVE-2025-48341,2025-05-19T15:15:32.333,CWE-79,5.9
CVE-2025-24183,2025-05-19T16:15:28.107,CWE-269,5.5
CVE-2025-39369,2025-05-19T17:15:25.600,CWE-79,6.5
CVE-2025-22287,2025-05-19T18:15:27.020,CWE-862,5.4
CVE-2025-43841,2025-05-19T18:15:30.520,CWE-79,6.5
CVE-2025-43832,2025-05-19T19:15:50.560,CWE-79,7.1
CVE-2025-39349,2025-05-19T20:15:22.890,CWE-502,9.8
CVE-2025-39402,2025-05-19T20:15:25.433,CWE-434,9.9
CVE-2025-40634,2025-05-20T11:15:48.930,CWE-121,9.2
CVE-2025-41225,2025-05-20T15:16:07.527,CWE-78,8.8
CVE-2025-37907,2025-05-20T16:15:27.177,CWE-667,5.5
CVE-2025-37924,2025-05-20T16:15:29.037,CWE-416,7.8
CVE-2025-37942,2025-05-20T16:15:32.000,CWE-835,5.5
CVE-2025-37959,2025-05-20T16:15:34.143,N/A,N/A
CVE-2025-37971,2025-05-20T17:15:47.630,CWE-476,5.5
CVE-2025-37986,2025-05-20T18:15:45.470,NVD-CWE-noinfo,5.5
CVE-2025-4996,2025-05-20T19:15:50.437,CWE-79;CWE-94,2.4
CVE-2025-44897,2025-05-20T21:15:23.683,CWE-121,9.8
