CVE,Date,CWE,Severity
CVE-2025-24687,2025-01-24T18:15:42.283,CWE-79,6.5
CVE-2025-24715,2025-01-24T18:15:44.913,CWE-352,5.4
CVE-2025-24733,2025-01-24T18:15:47.697,CWE-98;CWE-706,6.5
CVE-2025-0709,2025-01-24T21:15:11.237,CWE-79;CWE-94,4.8
CVE-2025-24814,2025-01-27T09:15:14.947,CWE-250;NVD-CWE-Other,5.5
CVE-2025-23669,2025-01-27T15:15:12.423,CWE-79,6.5
CVE-2025-24662,2025-01-27T15:15:15.227,CWE-862,5.3
CVE-2025-0730,2025-01-27T17:15:17.133,CWE-598,3.7
CVE-2025-24087,2025-01-27T22:15:15.180,CWE-281,5.5
CVE-2025-24115,2025-01-27T22:15:16.713,NVD-CWE-noinfo;CWE-125,6.3
CVE-2025-24136,2025-01-27T22:15:18.340,CWE-59,4.4
CVE-2025-24159,2025-01-27T22:15:19.897,NVD-CWE-noinfo;CWE-94,7.8
CVE-2025-0750,2025-01-28T10:15:09.317,CWE-22,6.6
CVE-2025-23057,2025-01-28T18:15:39.677,CWE-79,5.4
CVE-2025-0790,2025-01-29T00:15:08.280,CWE-79;CWE-94,6.1
CVE-2025-24374,2025-01-29T16:15:44.090,CWE-74,4.3
CVE-2025-0851,2025-01-29T22:15:30.463,CWE-36;CWE-73,9.8
CVE-2025-23007,2025-01-30T10:15:09.283,CWE-269,5.5
CVE-2025-22220,2025-01-30T16:15:31.143,CWE-269,5.4
CVE-2025-0683,2025-01-30T19:15:14.460,CWE-359,5.9
CVE-2025-0569,2025-01-30T21:15:13.710,CWE-119;CWE-787,7.5
CVE-2025-22265,2025-01-31T09:15:07.167,CWE-862,6.5
CVE-2025-24534,2025-01-31T09:15:09.720,CWE-79,7.1
CVE-2025-21667,2025-01-31T12:15:27.863,CWE-835,5.5
CVE-2025-24827,2025-01-31T13:15:27.553,CWE-426,N/A
CVE-2025-23091,2025-02-01T07:15:08.277,CWE-295,N/A
CVE-2025-20632,2025-02-03T04:15:08.177,CWE-787,7.8
CVE-2025-22292,2025-02-03T15:15:17.677,CWE-79,6.5
CVE-2025-22704,2025-02-03T15:15:20.273,CWE-352,5.4
CVE-2025-23799,2025-02-03T15:15:22.843,CWE-79,7.1
CVE-2025-24629,2025-02-03T15:15:27.163,CWE-79,7.1
CVE-2025-25064,2025-02-03T20:15:37.257,CWE-89,8.8
CVE-2025-24906,2025-02-03T22:15:28.963,CWE-89,9.8
CVE-2025-20889,2025-02-04T08:15:29.983,CWE-787,5.5
CVE-2025-20907,2025-02-04T08:15:32.403,NVD-CWE-noinfo,4.4
CVE-2025-1019,2025-02-04T14:15:32.850,CWE-1021,4.3
CVE-2025-22794,2025-02-04T15:15:22.503,CWE-79,7.1
CVE-2025-0509,2025-02-04T20:15:49.763,CWE-552,6.8
CVE-2025-25246,2025-02-05T05:15:11.663,CWE-94,8.1
CVE-2025-20180,2025-02-05T17:15:25.370,CWE-79,4.8
CVE-2025-23415,2025-02-05T18:15:32.573,CWE-345,3.1
CVE-2025-23236,2025-02-06T08:15:30.170,CWE-120,N/A
CVE-2025-23093,2025-02-06T20:15:40.587,CWE-269,8.8
CVE-2025-1084,2025-02-07T00:15:28.180,CWE-352;CWE-862,4.3
CVE-2025-25076,2025-02-07T10:15:12.697,CWE-79,6.5
CVE-2025-25103,2025-02-07T10:15:15.850,CWE-352,4.3
CVE-2025-25139,2025-02-07T10:15:18.837,CWE-352,7.1
CVE-2025-25160,2025-02-07T10:15:21.797,CWE-352,6.1
CVE-2025-1114,2025-02-07T23:15:14.840,CWE-79;CWE-94,5.4
CVE-2025-1193,2025-02-10T14:15:30.107,CWE-295,8.1
CVE-2025-25188,2025-02-10T18:15:35.827,CWE-345,5.7
CVE-2025-25194,2025-02-10T23:15:16.067,CWE-918,4.0
CVE-2025-24875,2025-02-11T01:15:11.733,CWE-352,6.8
CVE-2025-1211,2025-02-11T05:15:14.013,CWE-918,6.5
CVE-2025-0526,2025-02-11T11:15:15.923,CWE-862,5.4
CVE-2025-24896,2025-02-11T16:15:51.477,CWE-613,8.1
CVE-2025-21156,2025-02-11T18:15:27.787,CWE-191,7.8
CVE-2025-21206,2025-02-11T18:15:31.610,CWE-427;NVD-CWE-noinfo,7.3
CVE-2025-21369,2025-02-11T18:15:35.340,CWE-122;CWE-190;NVD-CWE-noinfo,8.8
CVE-2025-21406,2025-02-11T18:15:38.907,CWE-416;NVD-CWE-noinfo,8.8
